ID,title,author,rating,genre
160,My Little Pony: Friendship is Magic #45,Thom Zahler,4.4,"Comics & Graphic Novels , General"
161,Antiques Knock-Off,Barbara Allan,4.3,"Fiction , Mystery &amp, Detective , Cozy , General"
162,Thrawn (Star Wars),Timothy Zahn,4.7,"Fiction , Action &amp, Adventure"
163,Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,3.9,"Fiction , Mystery & Detective , Amateur Sleuth"
164,The Joker,Brian Azzarello,4.4,none
165,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,"Fiction , General"
166,Platform: Get Noticed in a Noisy World,Michael Hyatt,4.6,none
167,The Guardians: A Novel,John Grisham,4.5,"Fiction , Thrillers , Suspense"
168,Shantaram,Gregory David Roberts,4.5,none
169,The Burning White: Book Five of Lightbringer,Brent Weeks,4.9,"Fiction , Fantasy , General"
170,Dead Silent,Shirley Wells,4.0,none
171,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,"Business &amp, Economics , New Business Enterprises"
172,The Man in the High Castle,Philip K. Dick,4.0,none
173,Total Control,David Baldacci,4.0,"Fiction , Mystery &amp, Detective , General"
174,Antiques Knock-Off,Barbara Allan,4.3,"Fiction , Mystery &amp, Detective , Amateur Sleuth"
175,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,"Fiction , Fantasy , General"
176,Shall We Tell the President?,Jeffrey Archer,4.5,none
177,The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,4.6,none
178,Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,3.9,"Fiction , Mystery & Detective , Amateur Sleuth"
179,"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,4.5,"Juvenile Fiction , Science Fiction"
180,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.7,none
181,Auberon,James S. A. Corey,4.7,"Fiction , Science Fiction , Action &amp, Adventure"
182,Watching (The Making of Riley Paige—Book 1),Blake Pierce,4.6,"Fiction , Mystery &amp, Detective , General"
183,The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,"Fiction , Mystery &amp, Detective , Cozy , General"
184,15 Delicious Slow Cooker Recipes,Sallie Stone,5.0,none
185,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4.0,"Fiction , Mystery &amp, Detective , Police Procedural"
186,"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,"Poetry , General"
187,Dark Age,Pierce Brown,4.8,none
188,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4.0,"Self-Help , Self-Management , General"
189,Marvel Universe Vs. The Punisher: Volume 1,Jonathan Maberry,4.2,none
